Model,Horizon,MAE,RMSE,R2
ElasticNet,3,0.011672426318539271,0.021682463359245563,0.7323028927231642
SARIMAX,3,0.01419466293367195,0.024222671722221346,0.6659045794406496
VARX,3,0.016803129554569814,0.024786901609827966,0.6501588260647078
GRU,3,0.014249859953519394,0.025732591513969835,0.6229547379340993
RandomForest,3,0.01729393939391824,0.029695454197562775,0.497881317647321
ElasticNet,6,0.012358649256635582,0.023073870199402845,0.6457186019569077
SARIMAX,6,0.015159286539042766,0.025696202063263403,0.5606148885311408
VARX,6,0.0175776996847796,0.026148521943135956,0.5450101066697757
GRU,6,0.015248464220863865,0.02736893668172654,0.5015480388444351
RandomForest,6,0.01903684210523943,0.03170748431211439,0.33099243010788537
ElasticNet,12,0.011806710681204261,0.021704157797775812,0.5956271303867107
SARIMAX,12,0.015148737582177422,0.024534144320812377,0.48330059100088385
VARX,12,0.016981673654035488,0.024820082020074227,0.4711864701934645
GRU,12,0.014720263279055774,0.025799943928180195,0.42860865507640544
RandomForest,12,0.020576923076897336,0.03176753705051298,0.13371015449796064
